	Restaurant Name	Rating	Number of Reviews	Price Range	Food Type	Number of Photos	Mon Hours	Tue Hours	Wed Hours	Thu Hours	Fri Hours	Sat Hours	Sun Hours
186	Uptown Swirl	3.5	243	1.0	Ice Cream & Frozen Yogurt, Creperies, Waffles	272	10:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 2:00 am
187	Rico Chimi	3	26	1.0	Dominican	24	11:00 am - 5:00 am	11:00 am - 3:00 am	11:00 am - 3:00 am	11:00 am - 5:30 am	11:00 am - 5:30 am	11:00 am - 5:30 am	11:00 am - 3:00 am
188	Vanessa's Dumpling House	3.5	494	1.0	Chinese	244	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 11:00 pm
189	Lamb Noodle Soup 滋補羊肉燴面	4.5	182	1.0	Chinese, Noodles	155	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm
190	Jerusalem Restaurant	3	160	1.0	Middle Eastern, Mediterranean, Halal	41	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am
191	Stage Door Deli	3.5	120	1.0	Delis	58	4:30 am - 9:00 pm	4:30 am - 9:00 pm	4:30 am - 9:00 pm	4:30 am - 9:00 pm	4:30 am - 9:00 pm	6:00 am - 7:00 pm	Closed
192	Aburi Sushi Bar	3.5	127	1.0	Sushi Bars, Bars	67	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:30 pm	11:00 am - 11:30 pm	12:00 pm - 11:00 pm
193	Curry Tub	4	56	1.0	Indian	68	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	Closed
194	Golden House	2.5	87	1.0	Chinese	59	11:00 am - 11:15 pm	11:00 am - 11:15 pm	11:00 am - 11:15 pm	11:00 am - 11:15 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	12:00 pm - 11:15 pm
195	Jumbo Chinese Kitchen	4	22	1.0	Chinese	18	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	12:00 pm - 11:00 pm
196	Bedawi Cafe	4	155	1.0	Middle Eastern, Halal	69	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm
