	Restaurant Name	Rating	Number of Reviews	Price Range	Food Type	Number of Photos	Mon Hours	Tue Hours	Wed Hours	Thu Hours	Fri Hours	Sat Hours	Sun Hours
542	Forlini's Restaurant	4.5	406	2.0	Italian, Bars	268	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 10:00 pm
543	Lalito	3.5	138	2.0	Mexican, Cocktail Bars	188	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	Closed
544	Da Tang Szechuan	4.5	170	2.0	Szechuan	688							
545	Verde On Smith	4	471	2.0	Italian, Seafood, Breakfast & Brunch	657	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 12:00 am	10:00 am - 12:00 am	9:00 am - 10:00 pm
546	J.G. Melon	3.5	1214	2.0	American (Traditional), Bars, Salad	487	11:30 am - 3:00 am	11:30 am - 3:00 am	11:30 am - 3:00 am	11:30 am - 3:59 am	11:30 am - 3:59 am	11:30 am - 3:59 am	11:30 am - 1:00 am
547	Marlow Bistro	4	260	2.0	Mediterranean, Pizza, Venues & Event Spaces	288	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:45 pm	11:00 am - 10:45 pm	11:00 am - 10:30 pm
548	Spanish Tavern	4	217	2.0	Spanish	232	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 9:00 pm
549	Noble Kitchen & Cocktails	4	184	2.0	Cocktail Bars, American (New)	212	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	4:00 pm - 10:00 pm	5:00 pm - 10:00 pm	4:00 pm - 9:00 pm
550	Faubourg	4	75	2.0	French, Wine Bars	156	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 10:00 pm
551	La Bella Vita	4	353	2.0	Italian	320	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm
552	Roberta's	4	2724	2.0	Pizza, Italian	2518	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	10:00 am - 12:00 am	10:00 am - 12:00 am
553	Frost Restaurant	4	152	2.0	Italian, Seafood, Wine Bars	105	Closed	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm
554	Trademark Taste + Grind	4.5	602	2.0	Venues & Event Spaces, Breakfast & Brunch, American (Traditional)	928							
555	Scottadito Osteria Toscana	4	832	2.0	Italian, Venues & Event Spaces, Breakfast & Brunch	630							
556	Raclette	4	1261	2.0	Sandwiches, French	1991	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 11:30 pm	11:00 am - 11:30 pm	11:00 am - 10:30 pm
557	Kurry Qulture	4.5	334	2.0	Indian, Wine Bars, Cocktail Bars	376	5:00 pm - 10:00 pm	Closed	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:30 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm
558	The Good Fork	4	402	2.0	American (New)	185	Closed	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	10:00 am - 3:00 pm	10:00 am - 3:00 pm
559	Next Door	3.5	162	2.0	Italian	189	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 11:00 pm
560	Li Wan Restaurant	4	25	2.0	Chinese	15	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	12:00 pm - 9:30 pm
561	Negril BK	4	466	2.0	Caribbean	796	Closed	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:30 pm	12:00 pm - 3:30 pm
562	Paisano's Restaurant	4	572	2.0	Italian	323	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	12:00 pm - 10:00 pm	Closed
563	Reef Restaurant	3.5	278	2.0	Seafood, American (New)	411	12:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 1:00 am	12:00 pm - 1:00 am	11:00 am - 1:00 am	11:00 am - 12:00 am
564	Astoria Seafood	4	612	2.0	Seafood, Greek, Mediterranean	2188	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	Closed
565	The Shady Lady	4	762	2.0	American (New), Tapas Bars, Breakfast & Brunch	862	5:00 pm - 1:00 am	5:00 pm - 1:00 am	5:00 pm - 1:00 am	5:00 pm - 1:00 am	11:00 am - 2:00 am	10:00 am - 2:00 am	10:00 am - 1:00 am
566	Laut	3.5	1163	2.0	Thai, Malaysian, Singaporean	995	11:30 am - 3:15 pm	11:30 am - 3:15 pm	11:30 am - 3:15 pm	11:30 am - 3:15 pm	11:30 am - 3:15 pm	1:00 pm - 10:15 pm	1:00 pm - 9:45 pm
567	Westville East	4	1022	2.0	American (Traditional), Beer Bar, Bakeries	503	10:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm
568	The Liberty	3.5	440	2.0	American (New), Bars, Venues & Event Spaces	320							
569	Ikinari Steak East Village	4	744	2.0	Steakhouses, Japanese, Beer, Wine & Spirits	1879	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm
570	Barbalu Restaurant	4	271	2.0	Italian, Salad, Sandwiches	328	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm	10:30 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:00 pm
571	New Moon	4	99	2.0	Chinese	77	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm
572	IL Triangolo Restaurant	4.5	437	2.0	Italian	732	Closed	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	4:00 pm - 9:00 pm
573	Parkside	4	176	2.0	Pizza, Cocktail Bars, Jazz & Blues	236	5:30 pm - 2:00 am	5:30 pm - 2:00 am	5:30 pm - 2:00 am	5:30 pm - 2:00 am	5:30 pm - 2:00 am	4:00 pm - 2:00 am	1:00 pm - 2:00 am
574	CAVA	4	151	2.0	Mediterranean	237	10:45 am - 10:00 pm	10:45 am - 10:00 pm	10:45 am - 10:00 pm	10:45 am - 10:00 pm	10:45 am - 10:00 pm	10:45 am - 10:00 pm	10:45 am - 10:00 pm
575	Girasoles Mexican Cuisine	4.5	41	2.0	Mexican	77	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	Closed
576	L'inizio	4	108	2.0	Italian, Bars	131	Closed	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 9:00 pm
577	Publick House	4	174	2.0	American (New), Gastropubs, Salad	110							
578	Polpette 71	4	128	2.0	Italian	67	5:00 pm - 10:30 pm	12:00 pm - 11:30 pm	12:00 pm - 11:30 pm	12:00 pm - 11:30 pm	12:00 pm - 11:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm
579	Anable Basin Sailing Bar & Grill	4	163	2.0	Bars, American (Traditional)	247	4:00 pm - 11:00 pm	4:00 pm - 11:30 pm	4:00 pm - 11:30 pm	4:00 pm - 11:30 pm	3:00 pm - 1:30 am	12:00 pm - 1:30 am	12:00 pm - 11:30 pm
580	Zio Toto	4	178	2.0	Italian	78							
581	Enthaice Thai Kitchen	4	656	2.0	Thai, Seafood, Chicken Wings	758	12:00 pm - 10:30 pm	4:00 pm - 10:30 pm	4:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 10:30 pm
582	Sofreh	4	202	2.0	Persian/Iranian	223	Closed	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	6:00 pm - 11:00 pm	6:00 pm - 11:00 pm	6:00 pm - 9:30 pm
583	wagamama - nomad	3.5	771	2.0	Asian Fusion, Noodles	973	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 11:00 pm
584	Osteria Cotta	4	816	2.0	Italian, Wine Bars, Venues & Event Spaces	459							
585	The Dining Lab At Monroe College	4.5	24	2.0	American (New)	56	Closed	6:30 pm - 7:30 pm	6:30 pm - 7:30 pm	Closed	Closed	Closed	Closed
586	La Loteria	4	312	2.0	Mexican	477	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 12:00 am	12:00 pm - 12:00 am	12:00 pm - 11:00 pm
587	Le Baratin	4	204	2.0	Cafes, French	212	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 1:00 am	11:00 am - 1:00 am	11:00 am - 12:00 am
588	Joseph's Restaurant	4	75	2.0	Italian, Venues & Event Spaces	47	12:00 pm - 2:45 pm	12:00 pm - 2:45 pm	12:00 pm - 2:45 pm	12:00 pm - 2:45 pm	12:00 pm - 2:45 pm	Closed	Closed
589	Seasons 52	4	717	2.0	American (New), Wine Bars, Seafood	1208	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 10:00 pm
590	SoleLuna Restaurant	4.5	366	2.0	Cafes, Italian, Breakfast & Brunch	528	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 10:00 pm
591	Dkalabash	4.5	40	2.0	Caribbean, Cocktail Bars, Venues & Event Spaces	127							
592	Pepper Lunch Broadway	4	66	2.0	Steakhouses, Teppanyaki	146	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm
593	Olio e Piú	4	1939	2.0	Pizza, Italian, Breakfast & Brunch	2638	9:00 am - 12:00 am	9:00 am - 12:00 am	9:00 am - 12:00 am	9:00 am - 12:00 am	9:00 am - 1:00 am	10:00 am - 1:00 am	10:00 am - 11:00 pm
594	Heidi's House By The Side Of The Road	4.5	588	2.0	Wine Bars, Comfort Food, Gluten-Free	324	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 10:00 pm
595	il Fornetto	4	355	2.0	Italian, Seafood	451	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	11:00 am - 10:00 pm
596	The Brooklyn Barge	3.5	149	2.0	Bars, American (Traditional)	216	4:00 pm - 12:00 am	4:00 pm - 12:00 am	12:00 pm - 1:00 am	12:00 pm - 1:00 am	12:00 pm - 1:00 am	11:00 am - 1:00 am	11:00 am - 12:00 am
597	Maya	3.5	891	2.0	Mexican	801	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 10:00 pm
598	Carmine's Italian Restaurant - Upper West Side	4	1286	2.0	Italian, Venues & Event Spaces, Caterers	1279	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 11:00 pm
599	Mi Bandera	3.5	143	2.0	Cuban, Spanish, Steakhouses	146	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm
600	Boucherie Union Square	4.5	594	3.0	Steakhouses, French, Cocktail Bars	1878	9:00 am - 12:00 am	9:00 am - 12:00 am	9:00 am - 12:00 am	9:00 am - 12:00 am	9:00 am - 1:00 am	10:00 am - 1:00 am	10:00 am - 12:00 am
601	Coco J'adore	4.5	74	3.0	French, Venues & Event Spaces, Cocktail Bars	195							
602	Papilles	5	55	3.0	French	109							
603	Traif	4.5	1830	3.0	American (New), Tapas/Small Plates	2692	Closed	Closed	6:00 pm - 10:30 pm	6:00 pm - 10:30 pm	6:00 pm - 11:30 pm	6:00 pm - 11:30 pm	6:00 pm - 10:30 pm
604	The Seafire Grill	4.5	1183	3.0	Seafood, Steakhouses, Bars	1165	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm
605	Boucherie West Village	4.5	1240	3.0	French, Cocktail Bars, Steakhouses	3213	9:00 am - 12:00 am	9:00 am - 12:00 am	9:00 am - 12:00 am	9:00 am - 12:00 am	9:00 am - 1:00 am	10:00 am - 1:00 am	10:00 am - 12:00 am
606	La Sirène-Soho	4.5	1582	3.0	French	1435	5:00 pm - 10:00 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 11:00 pm	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 10:00 pm
607	The NoMad Restaurant	4	1433	3.0	French, American (New), Gastropubs	2485	7:00 am - 10:00 am	7:00 am - 10:00 am	7:00 am - 10:00 am	7:00 am - 10:00 am	7:00 am - 10:00 am	7:00 am - 10:00 am	7:00 am - 10:00 am
608	Allora Ristorante	4.5	469	3.0	Italian, Bars	447	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm
609	The Finch	4	194	3.0	American (New), Wine Bars	204	6:00 pm - 10:00 pm	Closed	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 9:00 pm
610	Beauty & Essex	4	3357	3.0	American (New)	4804	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 12:00 am	5:30 pm - 12:00 am	5:30 pm - 1:00 am	11:30 am - 3:00 pm	11:30 am - 11:00 pm
611	The Musket Room	4.5	428	3.0	American (New), Cocktail Bars	1230	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 10:00 pm
612	Barca	4.5	71	3.0	Seafood, Mediterranean, Italian	152	Closed	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	4:00 pm - 9:00 pm
613	DeStefano's Steakhouse	4.5	797	3.0	Steakhouses	662	Closed	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 10:00 pm	5:00 am - 10:00 pm	10:30 am - 2:30 pm
614	Hutong	4	102	3.0	Chinese, Cocktail Bars	527	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm
615	Ocean Prime	4.5	528	3.0	Seafood, Steakhouses, American (New)	991	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 9:00 pm
616	Coarse NY	4.5	205	3.0	American (New)	286	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 12:00 am	12:00 pm - 11:00 pm	12:00 pm - 8:00 pm
617	L'Artusi	4.5	1747	3.0	Italian, Cocktail Bars	1961	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 12:00 am	5:30 pm - 12:00 am	11:00 am - 3:00 pm
618	Blue Ribbon Brasserie - Brooklyn	4	557	3.0	American (New)	381	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 11:00 pm
619	Honey Badger	4	93	3.0	American (New), Seafood	140	Closed	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm
620	Antica Ristorante	4.5	481	3.0	Italian	328	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm
621	L'Antagoniste	4.5	266	3.0	French, Breakfast & Brunch, Wine Bars	488	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 11:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm
622	Amelie	4.5	161	3.0	French, Wine Bars	181	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	12:00 pm - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am
623	Olmsted	4	350	3.0	American (New)	920	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	11:30 am - 2:30 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm
624	Trattoria L'incontro	4.5	893	3.0	Italian, Pizza, Salad	558	Closed	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	1:00 pm - 9:30 pm
625	ABC Kitchen	4	2920	3.0	American (New), French	3912	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm
626	Clay	4.5	135	3.0	American (New), Bars	132	Closed	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 10:00 pm
627	Bordeaux	4.5	58	3.0	Kosher, Steakhouses, American (New)	137	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	Closed	Closed	5:00 pm - 11:00 pm
628	Mountain Bird	4.5	176	3.0	French	324	Closed	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	6:00 pm - 10:00 pm	5:00 pm - 9:00 pm
629	Balthazar Restaurant	4	2991	3.0	French, Breakfast & Brunch	2837	7:30 am - 12:00 am	7:30 am - 12:00 am	7:30 am - 12:00 am	7:30 am - 12:00 am	7:30 am - 12:00 am	8:00 am - 12:00 am	8:00 am - 12:00 am
630	Fire & Oak - Jersey City	4	507	3.0	American (New), Seafood, Steakhouses	589	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm
631	Atoboy	4.5	317	3.0	Korean, Tapas/Small Plates, Asian Fusion	1598	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm
632	Wonderland	4.5	10	3.0	American (New)	101							
633	Chart House	4	1354	3.0	Seafood, Steakhouses, Venues & Event Spaces	2063	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	11:30 am - 11:00 pm	11:00 am - 10:00 pm
634	Burke & Wills	4	402	3.0	Australian, Bars, Desserts	439	12:00 pm - 1:00 am	12:00 pm - 1:00 am	12:00 pm - 1:00 am	12:00 pm - 2:00 am	12:00 pm - 2:00 am	11:00 am - 2:00 am	11:00 am - 12:00 am
635	The Milling Room	4	433	3.0	American (New), Wine Bars, Cocktail Bars	495	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 10:00 pm
636	Momofuku Ssam Bar	4	2402	3.0	American (New)	3281	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm	11:30 am - 3:00 pm
637	Evelina	4.5	141	3.0	Italian	198	12:00 pm - 3:30 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	10:00 am - 4:00 pm	10:00 am - 4:00 pm
638	Jack the Horse Tavern	4	383	3.0	American (New), Bars	207	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	11:00 am - 9:00 pm
639	Fleming's Prime Steakhouse & Wine Bar- Edgewater	4	461	3.0	Steakhouses, Wine Bars, Seafood	517	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	4:00 pm - 9:00 pm
640	Colonie	4	555	3.0	Breakfast & Brunch, American (Traditional), Cocktail Bars	458	6:00 pm - 12:00 am	6:00 pm - 12:00 am	6:00 pm - 12:00 am	6:00 pm - 12:00 am	6:00 pm - 1:00 am	11:00 am - 1:00 am	11:00 am - 12:00 am
641	Osteria Morini Manhattan	4	1109	3.0	Italian, Cocktail Bars, Wine Bars	1369	12:00 pm - 11:00 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 10:30 pm	12:00 pm - 11:30 pm	11:30 am - 11:30 pm	11:30 am - 10:00 pm
642	Alta	4	1842	3.0	Tapas Bars, Mediterranean, Spanish	1110	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 1:00 am	5:30 pm - 1:00 am	6:00 pm - 10:30 pm
643	Majorelle	4	51	3.0	French	62	5:30 pm - 10:30 pm	12:00 pm - 2:30 pm	12:00 am - 2:30 pm	12:00 pm - 2:30 pm	12:00 pm - 2:30 pm	12:00 pm - 2:30 pm	Closed
644	Blue Ribbon Brasserie - SoHo	4.5	912	3.0	American (Traditional), Cocktail Bars	522	4:00 pm - 4:00 am	4:00 pm - 4:00 am	4:00 pm - 4:00 am	4:00 pm - 4:00 am	4:00 pm - 4:00 am	4:00 pm - 4:00 am	4:00 pm - 4:00 am
645	Al Di La Trattoria	4	874	3.0	Italian	328	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	12:00 pm - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm
646	Meet The Meat	4.5	326	3.0	Steakhouses, Seafood	399	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm	3:30 pm - 9:45 pm
647	Christo's Steak House	4	379	3.0	Steakhouses, Greek	538	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm	3:00 pm - 10:00 pm
648	Roberto's	4	243	3.0	Italian	153	12:00 pm - 2:30 pm	12:00 pm - 2:30 pm	12:00 pm - 2:30 pm	12:00 pm - 2:30 pm	12:00 pm - 2:30 pm	12:00 pm - 2:30 pm	Closed
649	Maison Premiere	4	1116	3.0	Seafood, Bars, American (Traditional)	1517	2:00 pm - 2:00 am	2:00 pm - 2:00 am	2:00 pm - 2:00 am	2:00 pm - 4:00 am	2:00 pm - 4:00 am	11:00 am - 4:00 am	11:00 am - 2:00 am
650	Augustino's	4	269	3.0	Italian	190	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	Closed
651	Buddakan	4	3852	3.0	Chinese, Bars, Asian Fusion	4403	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 12:00 am	5:30 pm - 12:00 am	5:00 pm - 1:00 am	5:00 pm - 1:00 am	5:00 pm - 11:00 pm
652	Michael's of Brooklyn	4.5	210	3.0	Italian	275	Closed	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm
653	Gato	4	1111	3.0	Mediterranean, Spanish, Bars	1761	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:30 pm - 10:30 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 10:30 pm
654	Marc Forgione	4.5	902	3.0	American (New)	1158	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 10:00 pm
